"Marcaj de timp","Întrebări","Ce faci ?","Care e melodia ta preferată ?","Care e filmul tău preferat ?","Cum e la școală ?","Cum e la facultate ?","Lucrezi ?","Cât de deștept ești ?","Ce ai făcut în weekend ?","Care e mâncarea ta preferată ?","Cum a fost la film ?","Ție ce îți place să asculți ?"
"2019/06/08 5:22:07 p.m. GMT+3","Ai fost la film?
La ce film ai fost?
Care este animalul tau preferat?
Cumperi tu paine?
Cat vrei la mate?","Bine.
Mananc.
Dorm.
Fac de mancare.
Ma plimb.
Merg la sala.
Cumparaturi.
Ma joc.","Awake and Alive de la Skillet
Puiul Piu","Lord of the Rings, bineinteles.
Sigur nu Twilight.
","Ca la scoala.
E ok, multe teme din pacate.","Mai rau ca la scoala.
Te las pe tine sa iti dai cu parerea.
","Da.
Nu.
Part-time.","Nu prea.
Stiu sa cant la pahare.
Am trecut la matematica, deci...","Am dormit.
Am lenevit.
Am stat.
Am frecat menta.","Orez cu legume.","Fain.","Muzica.
Podcasturi.
Bancuri.
Teatru radiofonic."
"2019/06/09 2:05:14 p.m. GMT+3","","Bine.","Nu am.","NCIS","Interesant.","Inutil","Nu încă.","Foarte.","Am dormit.","Pizza.","Bine.","Oamenni."
"2019/06/09 8:46:47 p.m. GMT+3","Cati ani ai?
Cum te cheama?
Unde locuiesti?
Mananci?","Bine","Opening DBZ","Nu am ","Naspa","Nu inteleg nimic","Nu","Hmmm","Am condus","Pizza","Bine","Greierii"
"2019/06/09 11:01:55 p.m. GMT+3","Care este formația ta preferată?","Ascult muzică.
Tu?","Printre preferatele mele este Standstill de la Poets of The Fall","Harry Potter.
Al tău?","Ușor.","Obositor, astăzi am avut examen.","Nu încă.","Suficient cât să trec la calcul numeric.","Am lucrat pentru licență și am desenat.","Pizza cu ananas.","Nu mi-a prea plăcut.","Muzica ce are versuri și mesaje originale."
"2019/06/09 11:05:48 p.m. GMT+3","","Mănânc pizza cu ananas.","Lift de la Poets of the Fall.","","","","","Suficient cât să știu că cea mai bună pizza este pizza cu ananas.","Am fost în oraș să mănânc pizza cu ananas.","Pizza cu ananas.","","Poets of the Fall."
"2019/06/10 12:05:45 a.m. GMT+3","Ce anotimp preferi ?
Spune-mi o glumă.","Desenez o floare abstractă.","Amir - On dirait","Lista lui Schindler","Am terminat de mult școala, nu vreau să îmi amintesc. ","Mai greu decât mă așteptam.","La ce să lucrez ?","Nu sunt capabil să evaluez acest lucru.","Am urmărit un film în aer liber.","Căpșuni cu frișcă.","Foarte interesant, dar am rămas dezamăgit de final.","Îmi place foarte mult să ascult muzică jazz."
"2019/06/10 11:06:08 a.m. GMT+3","îți place ananasul?","dorm","Today Was a Good Day","Titanic","bine","mai puțin bine","nu","mediocru","am mers la pădure","pizza","distractiv","rap și hip-hop"
"2019/06/10 1:25:30 p.m. GMT+3","","Scriu mesaje. Bănuiești cui trimit mesajele?","Pisica neagră. Dar a ta?","Pompierul atomic. L-ai văzut?","Plictisitor. Este aproape vacanță.","Stresul este mare. În special pentru anii terminali.","Da.","La ultimul test IQ aveam 180 puncte.","Am fost la munte.","Nu am. ","Frumos. O comedie reușită.","Ascult orice îmi transmite cunoștințe noi și nu mă dezinformează."
"2019/06/10 5:44:10 p.m. GMT+3","","Bine,tu ce faci?","Perfect","Home alone","Bine","Foarte bine","Da","Destept","Am fost la tarnita!","Mazarea","Super","Muzica"
"2019/06/11 1:25:25 p.m. GMT+3","","Vorbesc cu tine","Nu am o melodie preferata","Moana","E foarte bine","Nu sunt inca la falcutate ","Nu","Sunt destul de isteț ","Am fost la piscină","Shaorma","Super!","Muzica"
"2019/06/11 1:27:01 p.m. GMT+3","","Bine, tu? ","Neli Lumea mea din cap. ","Harry Potter. ","Foarte bine. ","Nu sunt la Facultate. ","Nu. ","Foartec. ","Am ieșit cu prietenii în parc. ","Pizza ","Super!","Trap, manele, rap "
"2019/06/11 1:29:11 p.m. GMT+3","","","","","","","","","","","",""
"2019/06/11 1:29:18 p.m. GMT+3","","Bine tu?","Nu am o melodie preferată.
","Bărzoiul Richard.","Minunat.","Plictisitor.","Nu.","Foarte deștept.","Am dormit.","Pizza.","Interesant.","Muzică."
"2019/06/11 1:32:47 p.m. GMT+3","","Bine.","Nu am.","Nu am.","Frumos.","Nu sunt la facultate.","Poate.","Foarte deștept.","Am mers în oraș.","Pastele.","Frumos.","Știrile."
"2019/06/11 1:34:24 p.m. GMT+3","","","","","","","","","","","",""
"2019/06/11 1:34:34 p.m. GMT+3","","","","","","","","","","","",""
"2019/06/11 1:34:51 p.m. GMT+3","","","","","","","","","","","",""
"2019/06/11 1:35:31 p.m. GMT+3","","","","","","","","","","","",""
"2019/06/11 1:38:43 p.m. GMT+3","","Stau si ascult muzică","Billie Eilish-bad guy","The baby boss","Super ","Interesant ","Nu","Maxim ","Am citit 3 cărți si am fost la concert ","Paste carbonara","Interesant ","Bach"
"2019/06/11 1:39:01 p.m. GMT+3","","","","","","","","","","","",""
"2019/06/11 1:39:21 p.m. GMT+3","","","","","","","","","","","",""
"2019/06/11 1:42:08 p.m. GMT+3","","","","","","","","","","","",""
"2019/06/11 1:43:48 p.m. GMT+3","","","","","","","","","","","",""
"2019/06/11 1:45:07 p.m. GMT+3","","Bine. Minunat.","Melodia mea preferată este cea care rezultă din clapetele finuțului pian şi a vioarei cărămizii de lemn.","Filmul meu preferat este "" Titanic "". ","La şcoală este foarte distractiv şi timpul prinde culoare. ","","Eu nu lucrez deoarece sunt un suflet de copil.","Sunt deşteaptă pentru mine şi extraordinară pentru alţii.","În weekend am explorat limba vie a cărţiilor şi a creaţiilor. ","Mâncarea de fel preferată a mea sunt "" Penne Carbonara "" şi ciorba de legume cu bagă de cartofi. ","La film atmosfera a fost una de linişte crezută de melanconie.","Mie îmi preferă întelectul sufletesc ascultarea a melodii cu poveste."
"2019/06/11 1:45:14 p.m. GMT+3","","Bine. Minunat.","Melodia mea preferată este cea care rezultă din clapetele finuțului pian şi a vioarei cărămizii de lemn.","Filmul meu preferat este "" Titanic "". ","La şcoală este foarte distractiv şi timpul prinde culoare. ","","Eu nu lucrez deoarece sunt un suflet de copil.","Sunt deşteaptă pentru mine şi extraordinară pentru alţii.","În weekend am explorat limba vie a cărţiilor şi a creaţiilor. ","Mâncarea de fel preferată a mea sunt "" Penne Carbonara "" şi ciorba de legume cu bagă de cartofi. ","La film atmosfera a fost una de linişte crezută de melanconie.","Mie îmi preferă întelectul sufletesc ascultarea a melodii cu poveste."
"2019/06/11 5:50:24 p.m. GMT+3","Care este parerea ta despre comunitatea LGBTQ+?","Ascult muzică. ","Mother’s Daughter de la Miley Cyrus. ","Nu am un film preferat, dar serialul meu preferat este Money Heist. ","Greu, dar este bine și frumos. ","Nu practic facultatea încă. ","Nu","Cred că sunt destul de deștept. ","Am ieșit cu prietenii în oraș și în parc. ","Paste carbonara sau pizza prosciuto e mais. ","Foarte frumos. ","Pop, hip hop, rap și trap. "
"2019/06/12 1:00:55 p.m. GMT+3","","Acum mă  joc pe telefon.","Cântecul meu preferat e HOLD ON","Mama mia","La școală e bine,dar puțin obositor","","Nu","","Ai mers la picnic.","Pizza","Foarte frumos","Melodii pop"
"2019/06/12 1:10:18 p.m. GMT+3","","Acum mă  joc pe telefon.","Cântecul meu preferat e HOLD ON","Mama mia","La școală e bine,dar puțin obositor","","Nu","","Ai mers la picnic.","Pizza","Foarte frumos","Melodii pop"
"2019/06/13 10:25:35 p.m. GMT+3","Cum te simți în noua lume?","Excelent","Edera","La vitta e bella","Cald","Răcoritor","Da","Peste medie","Am dat examene","mămăligă cu brânză","Am adormit.","Orice este frumos"
"2019/06/13 10:26:12 p.m. GMT+3","Cum te simți în noua lume?","Excelent","Edera","La vitta e bella","Cald","Răcoritor","Da","Peste medie","Am dat examene","mămăligă cu brânză","Am adormit.","Orice este frumos"
"2019/06/22 2:59:08 p.m. GMT+3","","Mă plimb cu mașina","Nu am o melodie preferată, am mai multe","Nu îți pot răspunde, dar îmi plac filmele horror","Am terminat școala acum 3 ani","Refuz să-ți răspund","Da, lucrez ca șofer Bolt, cu mașină personală","Nu știu, nu am făcut un test IQ","Am fost să mă plimb prin oraș","În general, îmi place carnea și preparatele din carne","Încă nu am fost, dar mă uit rareori acasă","Melodii cu bass, melodii lente, instrumentale"
