"Marcaj de timp","Scrie aici conversația. Fii creativ !"
"2019/06/07 8:38:33 p.m. GMT+3","salut
bună
ce faci ?
Bine, făceam niște teme. Tu ?
eu joc fotbal cu colegii în parc"
"2019/06/07 8:41:01 p.m. GMT+3","cum a fost la examen ?
foarte greu
off... nu-i bine... crezi că treci ?
eu așa sper"
"2019/06/07 8:50:14 p.m. GMT+3","care e mâncarea ta preferată ?
Cartofii prăjiți. A ta ?
salata
salata ??
da
de ce ?
pentru că e sănătoasă"
"2019/06/07 11:30:45 p.m. GMT+3","cum te cheamă ?
zori de zeamă
ador numele tău !"
"2019/06/07 11:36:49 p.m. GMT+3","Alo? Andy? 
Da. Bună! 
Te-am sunat să te invit măine la o plimbare. Ești liber?
Maine după-amiază sunt liber. Unde vrei să mergem?
La Grădina Botanică. Vrei?
Daaaaa! Nu am fost de anul trecut. Cred că acum au înflorit lalelele!
Exact. Sunt multe flori Așadar ne vedem pe la ora patru?
Ok. Pe mâine deci!
Pe mâine!"
"2019/06/08 12:01:01 a.m. GMT+3","îți place să citești ?
da
ce îți place să citești ?
romane polițiste
ce interesant"
"2019/06/08 2:23:11 p.m. GMT+3","Miau
"
"2019/06/08 4:27:55 p.m. GMT+3","Salut!
Buna!
Cum esti?
Bine, sanatos. Tu?
La fel.
Ai fost la film aseara?
Da, a fost foarte bun. Trebuie sa mergi si tu.
Am fost si eu.
Ti-a placut?
Da.
Care e animalul tau favorit?
Pisica.
Eu am un motan.
Si eu imi doresc una.
Ai trecut la examen?
Abia, dar am trecut!
Mergem in vacanta atunci!
Unde?
La salina Turda.
E frumos acolo.
Stii care este cel mai lung cuvant in romana?
Pneumonoultramicroscopicsilicovolcaniconioza cred.
Stii vreun joc pe calculator bun?
Da, Lands of Azrea! Are animale.
Care e creatura mitologica favorita a ta?
Centaurii sunt interesanti.
Ai mancare in frigider?
Cateva conserve.
Stii rezolva probleme de matematica?
¯\_(ツ)_/¯
Eu trebuie sa plec. 
Pa!"
"2019/06/08 10:28:13 p.m. GMT+3","Bună dimineața!
Salut!
Cum ai dormit ?
Eu? Bine! Dar tu?
Eu n-am prea dormit azi noapte.
De ce?
Am băut o cană mare de cafea seara.
Și n-ai dormit deloc?
Doar vreo trei ore. Dar recuperez azi. Nu merg la cursuri.
Vrei sa dormi?
Da. Până la prânz. 
Bine. Te las să te odihnești.  Somn ușor!
Mersi! Pa!"
"2019/06/09 2:02:21 p.m. GMT+3"," neața! 
 hello! 
 ce mai faci? 
 Bine, mai am ceva treabă în grădină. Tu? 
 Voiam să mă uit la un film. Ai grădină? 
 Da. Acum încercam să tai iarba.  
 Super! 
 La ce film voiai să te uiți? 
 Nici eu nu știu. Să văd ce îmi recomandă Netflix. 
 OK. 
 Hai că te las. 
 Ne auzim! 
 Pa! 
 Pa! "
"2019/06/09 2:08:10 p.m. GMT+3"," Hei! Cum a fost? 
 Super! Am știut tot ce ne-a dat. 
 Serios? 
 Nu, normal. Am copiat. 
 Mda.. 
 Nu aveai de unde să știi tot ce voia el acolo. 
 Corect. 
 Tu, cum mai ești? Ai trecut la tot? 
 Da. "
"2019/06/09 8:43:29 p.m. GMT+3","Salut
Salut
Ce faci?
Bine , tu?
Bine"
"2019/06/09 9:58:14 p.m. GMT+3","Bună, cum a fost examenul?
A fost ok. Cred că m-am descurcat.
Mă bucur să aud asta. Nu vrei să mă ajuți și pe mine?
Dacă știu, bineînțeles.
Chiar? Super mulțumesc mult, rămân dator."
"2019/06/09 10:42:15 p.m. GMT+3","Salut!
Salut!
Ai timp astăzi să mergem la suc? Fac cinste. 
Sigur. La ce oră?
5 e bine? 
Da. Am să îți aduc și caietul cu exerciții pe care mi l-ai cerut.
Mulțumesc!
Săptămâna trecută am cumpărat jocul Catan. Nu ai vrea să jucăm într-o zi?
Ba da, am auzit de joc, dar nu știu regulile.
Nici eu încă, trebuie să le citim mai întâi. Nu cred că e greu. 
Putem să jucăm sâmbăta viitoare, eu sunt liber.
Perfect. Am să întreb și pe alți colegi dacă vor să vină."
